"obs","premios","programa","mate"
"1",45,0,"vocacional",41
"2",108,0,"general",41
"3",15,0,"vocacional",44
"4",67,0,"vocacional",42
"5",153,0,"vocacional",40
"6",51,0,"general",42
"7",164,0,"vocacional",46
"8",133,0,"vocacional",40
"9",2,0,"vocacional",33
"10",53,0,"vocacional",46
"11",1,0,"vocacional",40
"12",128,0,"academico",38
"13",16,0,"vocacional",44
"14",106,0,"vocacional",37
"15",89,0,"vocacional",40
"16",134,0,"general",39
"17",19,0,"general",43
"18",145,0,"vocacional",38
"19",11,0,"academico",45
"20",117,0,"vocacional",39
"21",109,0,"general",42
"22",12,0,"vocacional",45
"23",37,0,"vocacional",40
"24",69,0,"vocacional",40
"25",43,0,"academico",43
"26",196,0,"academico",49
"27",36,1,"general",44
"28",155,1,"general",46
"29",6,0,"academico",46
"30",4,1,"academico",41
"31",25,0,"general",42
"32",107,0,"vocacional",47
"33",5,1,"academico",43
"34",47,0,"academico",49
"35",140,1,"vocacional",40
"36",22,1,"vocacional",39
"37",18,0,"vocacional",49
"38",30,0,"academico",42
"39",40,0,"general",43
"40",176,0,"academico",41
"41",126,0,"general",57
"42",197,0,"academico",50
"43",46,0,"academico",44
"44",49,0,"vocacional",39
"45",8,0,"academico",52
"46",124,1,"vocacional",41
"47",13,0,"vocacional",39
"48",111,0,"general",39
"49",142,0,"vocacional",52
"50",193,1,"academico",48
"51",105,0,"academico",45
"52",58,0,"vocacional",40
"53",129,0,"general",46
"54",38,3,"academico",50
"55",182,0,"academico",43
"56",115,0,"general",43
"57",14,1,"academico",54
"58",175,1,"general",42
"59",44,0,"vocacional",45
"60",86,0,"general",54
"61",72,0,"vocacional",47
"62",41,1,"academico",45
"63",191,0,"academico",43
"64",138,1,"vocacional",40
"65",9,0,"vocacional",52
"66",151,1,"vocacional",52
"67",119,0,"general",45
"68",55,0,"academico",49
"69",73,1,"academico",53
"70",28,0,"general",54
"71",90,2,"academico",50
"72",17,0,"academico",48
"73",102,0,"academico",51
"74",70,0,"general",41
"75",148,1,"vocacional",51
"76",54,0,"general",46
"77",42,0,"vocacional",55
"78",87,0,"general",46
"79",21,0,"general",61
"80",181,0,"academico",45
"81",165,0,"vocacional",54
"82",78,0,"academico",54
"83",76,1,"academico",51
"84",29,0,"general",49
"85",91,0,"vocacional",56
"86",52,0,"academico",53
"87",10,1,"general",49
"88",85,0,"general",57
"89",50,0,"general",42
"90",56,0,"vocacional",46
"91",64,0,"vocacional",45
"92",130,0,"general",55
"93",141,0,"vocacional",47
"94",74,0,"academico",50
"95",83,0,"vocacional",41
"96",31,0,"general",52
"97",172,1,"academico",57
"98",184,0,"vocacional",53
"99",75,1,"vocacional",51
"100",187,0,"general",57
"101",113,0,"academico",51
"102",162,0,"vocacional",40
"103",110,0,"vocacional",50
"104",150,0,"vocacional",57
"105",167,0,"general",35
"106",77,0,"academico",49
"107",35,0,"general",50
"108",158,1,"general",55
"109",112,0,"academico",48
"110",48,0,"academico",52
"111",147,1,"academico",53
"112",7,1,"academico",59
"113",65,2,"academico",66
"114",168,0,"academico",57
"115",190,1,"academico",54
"116",178,0,"vocacional",57
"117",159,1,"academico",54
"118",120,0,"academico",54
"119",116,0,"academico",54
"120",79,2,"academico",49
"121",98,1,"vocacional",51
"122",122,3,"academico",58
"123",179,1,"academico",60
"124",198,0,"academico",51
"125",189,0,"academico",63
"126",199,1,"academico",50
"127",156,1,"academico",53
"128",166,0,"academico",53
"129",160,0,"academico",55
"130",152,1,"academico",56
"131",183,0,"academico",49
"132",94,1,"academico",61
"133",149,0,"general",49
"134",131,0,"academico",57
"135",24,0,"academico",66
"136",99,0,"general",56
"137",171,3,"academico",60
"138",104,1,"academico",57
"139",81,0,"academico",59
"140",97,0,"academico",58
"141",20,0,"academico",57
"142",163,3,"academico",64
"143",195,0,"general",60
"144",84,0,"general",54
"145",27,1,"academico",61
"146",118,1,"general",58
"147",71,0,"general",56
"148",63,0,"general",60
"149",185,0,"academico",55
"150",127,3,"academico",57
"151",177,0,"academico",62
"152",188,0,"academico",56
"153",60,0,"academico",51
"154",66,2,"vocacional",56
"155",173,0,"general",61
"156",186,1,"academico",63
"157",96,5,"academico",61
"158",101,0,"academico",67
"159",3,0,"academico",48
"160",170,1,"academico",61
"161",92,0,"general",57
"162",62,0,"general",48
"163",135,2,"academico",65
"164",26,4,"academico",62
"165",139,1,"academico",61
"166",121,0,"vocacional",53
"167",144,1,"general",58
"168",146,1,"academico",64
"169",137,3,"academico",65
"170",123,1,"general",56
"171",169,1,"general",63
"172",34,3,"academico",57
"173",33,2,"academico",72
"174",32,0,"vocacional",66
"175",114,0,"academico",62
"176",125,1,"academico",58
"177",59,1,"academico",63
"178",23,3,"academico",64
"179",161,2,"academico",72
"180",103,0,"academico",64
"181",194,6,"academico",69
"182",136,4,"academico",70
"183",154,1,"academico",66
"184",157,0,"general",58
"185",93,2,"academico",62
"186",39,2,"academico",67
"187",88,1,"academico",64
"188",192,2,"academico",63
"189",80,1,"academico",68
"190",200,1,"academico",75
"191",180,0,"academico",69
"192",82,1,"academico",65
"193",174,2,"academico",71
"194",95,5,"academico",71
"195",61,1,"academico",60
"196",100,2,"academico",71
"197",143,2,"vocacional",75
"198",68,1,"academico",71
"199",57,0,"academico",72
"200",132,3,"academico",73
